Badge#,Badge Name,Badge Summary,Name And Summary,Badge Category,Badge Give Type,Date Activated,Date Retired,Notes,Image website address
101,Thumbs Up,Gave meaningful comment(s) during class time,101--Thumbs Up: Gave meaningful comment(s) during class time,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/101%20Thumbs%20Up.gif
102,Deep Thinker,Prompted deep thought and/or discussion during class time,102--Deep Thinker: Prompted deep thought and/or discussion during class time,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/102%20Deep%20Thinker.gif
103,Mighty Mentor,"Gave me valued advice on academic, ministry, or personal matters","103--Mighty Mentor: Gave me valued advice on academic, ministry, or personal matters",,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/103%20Mighty%20Mentor.gif
104,Super Proofer,Proofread my paper for technical errors,104--Super Proofer: Proofread my paper for technical errors,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/104%20Super%20Proofer.gif
105,Study Buddy,Helped me study for an exam or prep for presentation,105--Study Buddy: Helped me study for an exam or prep for presentation,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/105%20Study%20Buddy.gif
106,Cool Critique,"Critiqued my assignment, giving helpful and timely feedback on overall work","106--Cool Critique: Critiqued my assignment, giving helpful and timely feedback on overall work",,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/106%20Cool%20Critique.gif
107,Lunch Time Theologian,Talked with me about theological or ministry matters over lunch,107--Lunch Time Theologian: Talked with me about theological or ministry matters over lunch,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/107%20Lunch%20Time%20Theologian.gif
108,Coffee Cup Theologian,Talked with me about theological or ministry matters over coffee,108--Coffee Cup Theologian: Talked with me about theological or ministry matters over coffee,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/108%20Coffee%20Cup%20Theologian.gif
109,Prayer Partner,Prayed with me one-on-one or in a small group,109--Prayer Partner: Prayed with me one-on-one or in a small group,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/109%20Prayer%20Partner.gif
110,Barnabus,Provided me with needed encouragement,110--Barnabus: Provided me with needed encouragement,,Student-Peer,7/25/2016,,,http://www.oc.edu/academics/graduate/theology/images/digital-badge-images/student-peer-badges/animated-gifs/110%20Barnabus.gif
